name,description,location,instances,viz
WildlifePreserve_V4,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p4,4,None
WildlifePreserve_V3,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p3,3,None
WildlifePreserve_V2,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p2,2,None
WildlifePreserve_V5,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p5,5,None
WildlifePreserve_V19,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p19,19,None
WildlifePreserve_V17,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p17,17,None
WildlifePreserve_V10,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p10,10,None
WildlifePreserve_V11,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p11,11,None
WildlifePreserve_V16,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p16,16,None
WildlifePreserve_V20,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p20,20,None
WildlifePreserve_V18,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p18,18,None
WildlifePreserve_V7,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p7,7,None
WildlifePreserve_V9,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p9,9,None
WildlifePreserve_V8,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p8,8,None
WildlifePreserve_V6,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p6,6,None
WildlifePreserve_V1,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p1,1,None
WildlifePreserve_V13,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p13,13,None
WildlifePreserve_V14,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p14,14,None
WildlifePreserve_V15,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p15,15,None
WildlifePreserve_V12,The aim of the Wildlife Preserve domain is to protect a wildlife preserve from poachers by sending available ranger to areas.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/WildlifePreserve/p12,12,None
CooperativeRecon,"In this domain, the planner controls one or more planetary rovers that examine objects of interest in order to detect life and take a picture of it.",/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/CooperativeRecon,"14,1,18,19,15,7,12,13,6,5,10,9,8,11,4,16,3,20,2,17",None
EarthObservation,The Earth Observation domain models a satellite orbiting Earth that can take pictures of the landscape below with a camera.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/EarthObservation,"14,1,18,19,15,7,12,13,6,5,10,9,8,11,4,16,3,20,2,17",None
ChromaticDice,Chromatic Dice is a variant of the popular dice game Yahtzee (also known as Kniffel).,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2018/ChromaticDice,"14,1,18,19,15,7,12,13,6,5,10,9,8,11,4,16,3,20,2,17",None
Traffic_CTM_MDP,A simple binary version of the cell transition model (CTM) for modeling traffic.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2011/Traffic/MDP,"1,7,6,5,10,9,8,4,3,2",None
Traffic_CTM_POMDP,A simple binary version of the cell transition model (CTM) for modeling traffic. This is the pomdp version,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2011/Traffic/POMDP,"1,7,6,5,10,9,8,4,3,2",None
CrossingTraffic_MDP,"In a grid, a robot must get to a goal and avoid obstacles arriving randomly and moving left.",/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2011/CrossingTraffic/MDP,"1,7,6,5,10,9,8,4,3,2",None
CrossingTraffic_POMDP,"In a grid, a robot must get to a goal and avoid obstacles arriving randomly and moving left. This is the pomdp version.",/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2011/CrossingTraffic/POMDP,"1,7,6,5,10,9,8,4,3,2",None
Navigation_MDP,"In a grid, a robot must get to a goal G, and every cell offers the robot a (different) chance of disappearing.",/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2011/Navigation/MDP,"1,7,6,5,10,9,8,4,3,2",None
Navigation_POMDP,"In a grid, a robot must get to a goal G, and every cell offers the robot a (different) chance of disappearing. This is the pomdp version.",/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2011/Navigation/POMDP,"1,7,6,5,10,9,8,4,3,2",None
Elevators_MDP,This domain has a number of elevators delivering passengers to either the top or the bottom floor.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2011/Elevators/MDP,"1,7,6,5,10,9,8,4,3,2",None
Elevators_POMDP,This domain has a number of elevators delivering passengers to either the top or the bottom floor. This is the pomdp version.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2011/Elevators/POMDP,"1,7,6,5,10,9,8,4,3,2",None
SysAdmin_MDP,An example RDDL description for the well-known SysAdmin problem.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2011/SysAdmin/MDP,"1,7,6,5,10,9,8,4,3,2",None
SysAdmin_POMDP,An example RDDL description for the well-known SysAdmin problem. This is the pomdp version,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2011/SysAdmin/POMDP,"1,7,6,5,10,9,8,4,3,2",None
GameOfLife_MDP,A simple DBN to encode Conway's cellular automata game of life on a grid.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2011/GameOfLife/MDP,"1,7,6,5,10,9,8,4,3,2",None
GameOfLife_POMDP,A simple DBN to encode Conway's cellular automata game of life on a grid. This is the pomdp version.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2011/GameOfLife/POMDP,"1,7,6,5,10,9,8,4,3,2",None
SkillTeaching_MDP,The agent is trying to teach a series of skills to a student through the use of hints and multiple choice questions.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2011/SkillTeaching/MDP,"1,7,6,5,10,9,8,4,3,2",None
SkillTeaching_POMDP,The agent is trying to teach a series of skills to a student through the use of hints and multiple choice questions. This is the pomdp version.,/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2011/SkillTeaching/POMDP,"1,7,6,5,10,9,8,4,3,2",None
CooperativeRecon_MDP,"There is a 2d grid with an agent, a base, some hazard squares, and objects in different locations.",/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2011/CooperativeRecon/MDP,"1,7,6,5,10,9,8,4,3,2",None
CooperativeRecon_POMDP,"There is a 2d grid with an agent, a base, some hazard squares, and objects in different locations. This is the pomdp version.",/Users/ayaltaitler/Documents/Code/rddl-repository/rddl-repository/Archive/Competitions/IPPC2011/CooperativeRecon/POMDP,"1,7,6,5,10,9,8,4,3,2",None
